inventory_id,store_id,product_id,current_stock,last_updated
1,S001,P001,18,2026-09-05
2,S001,P002,180,2026-09-05
3,S001,P003,75,2026-09-05
4,S001,P004,42,2026-09-05
5,S001,P005,36,2026-09-05
6,S001,P006,60,2026-09-05
7,S001,P007,82,2026-09-05
8,S001,P008,52,2026-09-05
9,S001,P009,50,2026-09-05
10,S001,P010,49,2026-09-05
11,S001,P011,43,2026-09-05
12,S001,P012,50,2026-09-05
13,S001,P013,82,2026-09-05
14,S001,P014,41,2026-09-05
15,S001,P015,78,2026-09-05
16,S001,P016,82,2026-09-05
17,S001,P017,45,2026-09-05
18,S001,P018,69,2026-09-05
19,S001,P019,40,2026-09-05
20,S001,P020,72,2026-09-05
21,S001,P021,62,2026-09-05
22,S001,P022,37,2026-09-05
23,S001,P023,36,2026-09-05
24,S001,P024,40,2026-09-05
25,S001,P025,48,2026-09-05
26,S001,P026,49,2026-09-05
27,S001,P027,67,2026-09-05
28,S001,P028,73,2026-09-05
29,S001,P029,36,2026-09-05
30,S001,P030,30,2026-09-05
31,S002,P001,15,2026-09-05
32,S002,P002,200,2026-09-05
33,S002,P003,70,2026-09-05
34,S002,P004,47,2026-09-05
35,S002,P005,80,2026-09-05
36,S002,P006,60,2026-09-05
37,S002,P007,76,2026-09-05
38,S002,P008,79,2026-09-05
39,S002,P009,69,2026-09-05
40,S002,P010,61,2026-09-05
41,S002,P011,49,2026-09-05
42,S002,P012,50,2026-09-05
43,S002,P013,63,2026-09-05
44,S002,P014,72,2026-09-05
45,S002,P015,0,2026-09-05
46,S002,P016,52,2026-09-05
47,S002,P017,45,2026-09-05
48,S002,P018,86,2026-09-05
49,S002,P019,90,2026-09-05
50,S002,P020,35,2026-09-05
51,S002,P021,83,2026-09-05
52,S002,P022,86,2026-09-05
53,S002,P023,45,2026-09-05
54,S002,P024,79,2026-09-05
55,S002,P025,62,2026-09-05
56,S002,P026,56,2026-09-05
57,S002,P027,52,2026-09-05
58,S002,P028,44,2026-09-05
59,S002,P029,48,2026-09-05
60,S002,P030,30,2026-09-05
61,S003,P001,20,2026-09-05
62,S003,P002,160,2026-09-05
63,S003,P003,83,2026-09-05
64,S003,P004,56,2026-09-05
65,S003,P005,41,2026-09-05
66,S003,P006,60,2026-09-05
67,S003,P007,40,2026-09-05
68,S003,P008,59,2026-09-05
69,S003,P009,41,2026-09-05
70,S003,P010,57,2026-09-05
71,S003,P011,89,2026-09-05
72,S003,P012,50,2026-09-05
73,S003,P013,57,2026-09-05
74,S003,P014,73,2026-09-05
75,S003,P015,51,2026-09-05
76,S003,P016,86,2026-09-05
77,S003,P017,45,2026-09-05
78,S003,P018,37,2026-09-05
79,S003,P019,81,2026-09-05
80,S003,P020,64,2026-09-05
81,S003,P021,69,2026-09-05
82,S003,P022,42,2026-09-05
83,S003,P023,59,2026-09-05
84,S003,P024,40,2026-09-05
85,S003,P025,70,2026-09-05
86,S003,P026,53,2026-09-05
87,S003,P027,88,2026-09-05
88,S003,P028,75,2026-09-05
89,S003,P029,74,2026-09-05
90,S003,P030,30,2026-09-05
